#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id;
"1 ,  Housewife,""Dr. Dre,Hittman,Kurupt"",57,""g funk, gangster rap, hip hop, rap, west coast rap, hardcore hip hop"",Hip Hop,2001,1999-11-16,4:02,89,71,25,0,92,25,67,-3 db,93,C♯/D♭ Minor,12A,4,2022-03-11,0Wik64zBKFTNoNjTpG70OH";
"2 ,  Lose Yourself - From ""8 Mile"" Soundtrack,Eminem,1,""detroit hip hop, hip hop, rap"",Hip Hop,Curtain Call (Deluxe),2005-12-06,5:26,70,73,1,0,6,26,36,-5 db,171,D Major,10B,4,2022-03-11,7w9bgPAmPTtrkt2v16QWvQ";
"3 ,  Just Lose It,Eminem,0,""detroit hip hop, hip hop, rap"",Hip Hop,Curtain Call (Deluxe),2005-12-06,4:08,95,62,6,0,96,5,25,-4 db,121,G#/A♭ Major,4B,4,2022-03-11,6v6WjsyLdY189IewecL2x7";
"4 ,  Remember,""Becky Hill,David Guetta"",82,""dance pop, edm, pop, pop dance, pop house, tropical house, uk dance, uk pop, big room, pop rap"",""Dance/Electronic "",Remember,2021-06-18,2:40,61,86,4,0,35,4,9,-3 db,124,G#/A♭ Major,4B,4,2022-03-11,4laAKIq9ZxBCwf99rauPYb";
5 ,  Black Magic,Jonasu,78,dutch edm,Dance/Electronic,Black Magic,2020-12-18,2:54,81,63,6,0,46,16,28,-5 db,124,G#/A♭ Major,4B,4,2022-03-11,7zx1i0jGcFwMBurajgKlO7;
"6 ,  I Wish (feat. Mabel),""Joel Corry,Mabel"",81,""dance pop, edm, pop, pop dance, tropical house, uk dance, post-teen pop, uk pop"",""Pop"",I Wish (feat. Mabel),2021-10-29,3:01,69,86,9,0,73,4,6,-3 db,124,A Minor,8A,4,2022-03-11,0YORgvqP1MotwCnDZzOwII";
"7 ,  Highway to Hell,AC/DC,86,""australian rock, hard rock, rock"",Rock,Highway to Hell,1979-07-27,3:28,57,91,6,0,42,13,16,-5 db,116,F#/G♭ Minor,11A,4,2022-03-11,2zYzyRzz6pRmhPzyfMEC8s";
"8 ,  Eye of the Tiger,Survivor,80,""album rock, hard rock, rock, soft rock"",Rock,Rocky IV,1985,4:05,82,60,13,0,55,3,9,-9 db,109,C Minor,5A,4,2022-03-11,2KH16WveTQWT6KOG9Rg6e2";
"9 ,  Thunder,""Gabry Ponte,LUM!X,Prezioso"",89,""eurodance, europop, italo dance, slap house, melbourne bounce international"",""Pop"",Thunder,2021-05-07,2:40,67,90,3,0,40,6,34,-5 db,101,C♯/D♭ Major,3B,3,2022-03-11,2USlegnFJLrVLpoVfPimKB";
10 ,  abcdefu,GAYLE,100,modern alternative pop,Rock,abcdefu,2021-08-13,2:48,70,54,30,0,42,5,37,-6 db,122,E Major,12B,4,2022-03-11,4fouWK6XVHhzl78KzQ1UjL;
"11 ,  Lease On Life,Andy Grammer,73,""dance pop, modern rock, neo mellow, pop, pop rap, pop rock, post-teen pop"",""Pop"",Lease On Life,2021-06-28,2:48,70,70,6,0,59,6,13,-5 db,88,D Major,10B,4,2022-03-11,4ufkuONjQMNR2fyXu1bO9w";
"12 ,  DANCE,DNCE,57,""dance pop, pop, post-teen pop"",Pop,DANCE,2018-01-26,2:59,78,79,8,0,94,6,6,-4 db,130,G#/A♭ Major,4B,4,2022-03-11,7BfSU2ya7PZtqrl48urKqG";
