#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1 ,  Back In Black,AC/DC,87,"australian rock, hard rock, rock",Rock,Back In Black,1980-07-25,4:15,31,70,1,1,76,5,8,-6 db,188,A Major,11B,4,2022-03-11,08mG3Y1vljYA6bvDt4Wqkj
2 ,  Highway to Hell,AC/DC,86,"australian rock, hard rock, rock",Rock,Highway to Hell,1979-07-27,3:28,57,91,6,0,42,13,16,-5 db,116,F#/G♭ Minor,11A,4,2022-03-11,2zYzyRzz6pRmhPzyfMEC8s
3 ,  Thunderstruck,AC/DC,86,"australian rock, hard rock, rock",Rock,The Razors Edge,1990-09-24,4:52,50,89,0,1,26,4,22,-5 db,134,E Major,12B,4,2022-03-11,57bgtoPSgt236HzfBOd8kj
4 ,"  All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,73,"dance pop, dirty south rap, hip hop, miami hip hop, pop, pop rap, rap, southern hip hop, trap","Pop, Hip Hop",Victory,2010-03-02,3:52,55,78,1,0,28,19,16,-4 db,150,A#/B♭ Major,6B,4,2022-03-11,12PNcnMsjsZ3eHm62t8hiy
5 ,  Let's Do This,Outskrts,56,,,Let's Do This,2020-09-18,2:21,65,87,0,0,38,6,32,-6 db,116,C♯/D♭ Major,3B,4,2022-03-11,6bpAqxdQ2BocMFzRnVZGFH
6 ,  Little Bit of Love - Welshy Remix,"Tom Grennan,Welshy",52,"modern rock, uk pop, deep groove house, irish electronic","Dance/Electronic, Rock, Pop",Little Bit of Love (Remixes),2021-02-05,3:15,75,88,6,0,44,4,8,-3 db,124,C♯/D♭ Minor,12A,4,2022-03-11,52HuynyJUW1qyV1TKVvjOq
7 ,  Beautiful People (feat. Khalid) - NOTD Remix,"Ed Sheeran,Khalid,NOTD",61,"pop, uk pop, pop r&b, alt z, dance pop, edm, electro house, electropop, pop dance, pop edm, tropical house","Pop, Dance/Electronic",Beautiful People (feat. Khalid) [NOTD Remix],2019-07-11,2:42,70,79,1,0,37,6,11,-6 db,104,D#/E♭ Major,5B,4,2022-03-11,6J7WMB5GII6pEOzy687jhO
8 ,  No Limit,2 Unlimited,0,"bubblegum dance, eurodance, europop, hip house",Pop,Unlimited Hits & Remixes,2014-05-05,3:43,65,100,1,0,64,5,5,-7 db,141,D#/E♭ Major,5B,4,2022-03-11,7pSJmBTlbA4S5zSLsj6Pzz
9 ,  Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,Ray Dalton",86,"dance pop, pop, pop rap, seattle hip hop,","Pop, Hip Hop",The Heist,2012-10-09,4:18,64,92,3,0,85,8,9,-4 db,146,D Major,10B,4,2022-03-11,3bidbhpOYeV4knp8AIu8Xn
10 ,  Welcome To The Jungle,Guns N' Roses,80,"glam metal, hard rock, rock","Metal, Rock",Appetite For Destruction,1987-07-21,4:32,45,95,2,40,33,8,30,-8 db,123,G#/A♭ Major,4B,4,2022-03-11,0bVtevEgtDIeRjCJbK3Lmv
11 ,  SHUTUP (with Scrilla King),"Wuki,Shaquille O'Neal,Scrilla King",51,"electro house, electronic trap, new jersey rap,","Dance/Electronic, Hip Hop",WukiWorld,2021-03-12,2:51,65,93,1,0,70,45,27,-3 db,160,C♯/D♭ Major,3B,4,2022-03-11,4o6VZA8EusQrSSEs8dlcB9
12 ,  INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X,Jack Harlow",95,"lgbtq+ hip hop, pop, deep underground hip hop, kentucky hip hop, rap","Hip Hop, Pop",INDUSTRY BABY (feat. Jack Harlow),2021-07-23,3:32,74,70,2,0,89,6,5,-7 db,150,D#/E♭ Minor,2A,4,2022-03-11,27NovPIUIRrOZoCHxABJwK
13 ,"  You're Gonna Go Far, Kid",The Offspring,83,"alternative metal, permanent wave, punk, rock, skate punk, socal pop punk","Metal, Rock, Pop","Rise And Fall, Rage And Grace",2008-06-17,2:57,55,92,0,0,60,6,20,-3 db,126,C Major,8B,4,2022-03-11,6TfBA04WJ3X1d1wXhaCFVT
14 ,  Rock And Roll All Nite,KISS,78,"album rock, classic rock, glam rock, hard rock, metal, rock","Rock, Metal",Dressed To Kill,1975-03-19,2:48,65,93,5,0,90,10,5,-6 db,145,C♯/D♭ Major,3B,4,2022-03-11,6KTv0Z8BmVqM7DPxbGzpVC
15 ,  Burn It to the Ground,Nickelback,75,"alternative metal, canadian rock, nu metal, post-grunge","Metal, Rock",Dark Horse,2008-10-28,3:32,62,92,0,39,60,7,36,-3 db,132,B Major,1B,4,2022-03-11,1jq28NGw6wdtFKx8MBPy6C
16 ,  Moth Into Flame,Metallica,59,"hard rock, metal, old school thrash, rock, thrash metal","Rock, Metal",Hardwired…To Self-Destruct,2016-11-18,5:50,16,98,0,1,37,6,6,-4 db,178,E Minor,9A,4,2022-03-11,3JjZq20Kv6UphyyirAaY9A
17 ,  Shake Your Blood (feat. Lemmy Kilmister),"Probot,Lemmy",53,"alternative metal, supergroup,","Metal, Rock",Probot,2004-02-10,2:59,55,97,0,57,52,6,17,-3 db,126,F Minor,4A,4,2022-03-11,6MVBXTAioGnP57AcGYaQNw
18 ,  Until the World Goes Cold,Trivium,59,"alternative metal, groove metal, melodic metalcore, melodic thrash, metal, metalcore, nu metal",Metal,Silence in the Snow (Special Edition),2015-10-02,5:21,52,89,0,0,53,7,15,-8 db,166,A#/B♭ Minor,3A,4,2022-03-11,1hPKSQuvfLlPeIu8xhRyTf
19 ,  Heart-Shaped Box,Nirvana,82,"alternative rock, grunge, permanent wave, rock",Rock,In Utero - 20th Anniversary - Deluxe Edition,1993-09-21,4:41,26,64,20,3,38,6,9,-10 db,203,C♯/D♭ Major,3B,4,2022-03-11,11LmqTE2naFULdEP94AUBa
20 ,  The Final Countdown,Europe,80,"album rock, glam metal, hard rock, rock, swedish hard rock, swedish melodic rock","Rock, Metal",The Final Countdown (Expanded Edition),1986,5:10,53,84,6,0,19,6,6,-7 db,118,F#/G♭ Minor,11A,4,2022-03-11,3MrRksHupTVEQ7YbA0FsZK
21 ,  Rock and Roll - Remaster,Led Zeppelin,72,"album rock, classic rock, hard rock, rock",Rock,Led Zeppelin IV (Deluxe Edition),1971-11-08,3:40,32,89,0,0,87,4,9,-7 db,170,A Major,11B,4,2022-03-11,4PRGxHpCpF2yoOHYKQIEwD
22 ,  American Idiot,Green Day,82,"permanent wave, punk",Rock,American Idiot,2004-09-21,2:56,38,99,0,0,77,6,37,-2 db,186,C♯/D♭ Major,3B,4,2022-03-11,6nTiIhLmQ3FWhvrGafw2zj
23 ,  Livin' la Vida Loca,Ricky Martin,77,"dance pop, latin, latin pop, mexican pop, puerto rican pop","Pop, Latin",Ricky Martin,1999,4:03,43,95,0,0,93,5,6,-4 db,178,C♯/D♭ Minor,12A,4,2022-03-11,0Ph6L4l8dYUuXFmb71Ajnd
24 ,  I Don't Care,Fall Out Boy,64,"emo, modern rock, rock",Rock,Folie à Deux,2008-01-01,3:34,55,94,0,0,43,5,56,-4 db,134,B Minor,10A,4,2022-03-11,26VG1uCazw9xtVnq8A1vtd
25 ,  Walk This Way,Aerosmith,77,"album rock, classic rock, hard rock, rock",Rock,Toys In The Attic,1975-04-08,3:40,65,73,1,0,89,4,8,-11 db,109,F Major,7B,4,2022-03-11,5SZ6zX4rOrEQferfFC2MfP
26 ,  Basket Case,Green Day,83,"permanent wave, punk",Rock,Dookie,1994-02-01,3:01,44,94,0,0,78,6,9,-3 db,85,D#/E♭ Major,5B,4,2022-03-12,6L89mwZXSOwYl76YXfX13s
27 ,  Dammit,blink-182,67,"pop punk, punk, rock, socal pop punk","Rock, Pop",Dude Ranch,1997-01-01,2:45,43,97,0,0,33,9,16,-5 db,110,C Major,8B,4,2022-03-12,6HvUYS1xDfTCGWoeVrv3XS
28 ,  Blitzkrieg Bop - 2016 Remaster,Ramones,75,"classic rock, early us punk, permanent wave, punk, rock, skate punk","Rock, Blues, Metal",Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),1976-04-23,2:14,39,78,0,47,90,23,11,-3 db,177,A Major,11B,4,2022-03-12,4KcH1ZRV2W1q7Flq0QqC76
29 ,  War Of The Worlds,The Lillingtons,38,"melodic hardcore, orgcore, power-pop punk, punk, ramonescore, skate punk, wyoming indie","Metal, Rock, Country",Death By Television,1999,2:26,39,95,0,4,80,4,44,-6 db,115,F#/G♭ Minor,11A,4,2022-03-12,0ONMRH7REJ5zxlSUA9WQau
30 ,  Smells Like Teen Spirit,Nirvana,85,"alternative rock, grunge, permanent wave, rock",Rock,Nevermind (Remastered),1991-09-26,5:01,50,91,0,0,72,6,11,-5 db,117,C♯/D♭ Major,3B,4,2022-03-12,4CeeEOM32jQcH3eN9Q2dGj
31 ,  Give It All,Rise Against,64,"chicago hardcore, chicago punk, hardcore punk, punk","Rock, Metal",Siren Song Of The Counter-Culture,2004-01-01,2:50,59,94,0,0,39,7,8,-3 db,103,D Major,10B,4,2022-03-12,5O6SumCYk8Ug81UbfXAPJC
32 ,  Everything Sux,Descendents,49,"hardcore punk, melodic hardcore, punk, ska punk, skate punk","Metal, Rock, Folk/Acoustic",Everything Sucks,1996-09-24,1:30,37,100,18,0,33,7,41,-6 db,105,E Major,12B,4,2022-03-12,0LDAMbrDwcMlH94AG9VYwW
